Model,Dataset,Alpha,Success Rate,Success CI,No Parse Rate,No Parse CI,N
GPT-OSS 20B,Anachronisms,2.0,0.05,0.11362487232297333,0.0,0.08056257902640969,20
GPT-OSS 20B,Anachronisms,4.0,0.1,0.13658358200735954,0.0,0.08056257902640969,20
GPT-OSS 20B,Anachronisms,6.0,0.0,0.08056257902640969,0.0,0.08056257902640969,20
GPT-OSS 20B,Anachronisms,8.0,0.0,0.08408961202630813,0.050000000000000044,0.11362487232297333,20
GPT-OSS 20B,Anachronisms,10.0,0.0,0.08408961202630813,0.050000000000000044,0.11362487232297333,20
GPT-OSS 20B,Anachronisms,12.0,0.16666666666666666,0.20053286003455978,0.4,0.19730598343246486,20
GPT-OSS 20B,Anachronisms,14.0,0.16666666666666666,0.20053286003455978,0.4,0.19730598343246486,20
GPT-OSS 20B,Anachronisms,16.0,0.1111111111111111,0.20755440896905555,0.55,0.19985839964701668,20
GPT-OSS 20B,Anachronisms,18.0,0.6,0.32582747224566955,0.75,0.17841958810553915,20
GPT-OSS 20B,Anachronisms,20.0,0.0,0.0,1.0,0.08056257902640968,20
GPT-OSS 20B,Logical Deduction,2.0,0.0,0.08056257902640969,0.0,0.08056257902640969,20
GPT-OSS 20B,Logical Deduction,4.0,0.0,0.08056257902640969,0.0,0.08056257902640969,20
GPT-OSS 20B,Logical Deduction,6.0,0.0,0.08056257902640969,0.0,0.08056257902640969,20
GPT-OSS 20B,Logical Deduction,8.0,0.0,0.08056257902640969,0.0,0.08056257902640969,20
GPT-OSS 20B,Logical Deduction,10.0,0.0,0.08056257902640969,0.0,0.08056257902640969,20
GPT-OSS 20B,Logical Deduction,12.0,0.0,0.08056257902640969,0.0,0.08056257902640969,20
GPT-OSS 20B,Logical Deduction,14.0,0.0,0.08056257902640969,0.0,0.08056257902640969,20
GPT-OSS 20B,Logical Deduction,16.0,0.0,0.08056257902640969,0.0,0.08056257902640969,20
GPT-OSS 20B,Logical Deduction,18.0,0.0,0.08056257902640969,0.0,0.08056257902640969,20
GPT-OSS 20B,Logical Deduction,20.0,0.05263157894736842,0.11851765880334375,0.050000000000000044,0.11362487232297333,20
GPT-OSS 20B,Social Chemistry,2.0,0.05,0.11362487232297333,0.0,0.08056257902640969,20
GPT-OSS 20B,Social Chemistry,4.0,0.05,0.11362487232297333,0.0,0.08056257902640969,20
GPT-OSS 20B,Social Chemistry,6.0,0.1,0.13658358200735954,0.0,0.08056257902640969,20
GPT-OSS 20B,Social Chemistry,8.0,0.0,0.08056257902640969,0.0,0.08056257902640969,20
GPT-OSS 20B,Social Chemistry,10.0,0.1,0.13658358200735954,0.0,0.08056257902640969,20
GPT-OSS 20B,Social Chemistry,12.0,0.05,0.11362487232297333,0.0,0.08056257902640969,20
GPT-OSS 20B,Social Chemistry,14.0,0.1,0.13658358200735954,0.0,0.08056257902640969,20
GPT-OSS 20B,Social Chemistry,16.0,0.05,0.11362487232297333,0.0,0.08056257902640969,20
GPT-OSS 20B,Social Chemistry,18.0,0.05,0.11362487232297333,0.0,0.08056257902640969,20
GPT-OSS 20B,Social Chemistry,20.0,0.05,0.11362487232297333,0.0,0.08056257902640969,20
GPT-OSS 20B,Sports Understanding,2.0,0.0,0.08056257902640969,0.0,0.08056257902640969,20
GPT-OSS 20B,Sports Understanding,4.0,0.15,0.15402505942227018,0.0,0.08056257902640969,20
GPT-OSS 20B,Sports Understanding,6.0,0.05,0.11362487232297333,0.0,0.08056257902640969,20
GPT-OSS 20B,Sports Understanding,8.0,0.1,0.13658358200735954,0.0,0.08056257902640969,20
GPT-OSS 20B,Sports Understanding,10.0,0.1,0.13658358200735954,0.0,0.08056257902640969,20
GPT-OSS 20B,Sports Understanding,12.0,0.05,0.11362487232297333,0.0,0.08056257902640969,20
GPT-OSS 20B,Sports Understanding,14.0,0.05,0.11362487232297333,0.0,0.08056257902640969,20
GPT-OSS 20B,Sports Understanding,16.0,0.15,0.15402505942227018,0.0,0.08056257902640969,20
GPT-OSS 20B,Sports Understanding,18.0,0.25,0.1784195881055392,0.0,0.08056257902640969,20
GPT-OSS 20B,Sports Understanding,20.0,0.1,0.13658358200735954,0.0,0.08056257902640969,20
