Model,Dataset,Alpha,Reg Success,Ortho Success,Diff
GPT-OSS 20B,Anachronisms,2.0,0.03711890243902439,0.05,-0.012881097560975614
GPT-OSS 20B,Anachronisms,4.0,0.046265243902439024,0.1,-0.05373475609756098
GPT-OSS 20B,Anachronisms,6.0,0.03411182696732627,0.0,0.03411182696732627
GPT-OSS 20B,Anachronisms,8.0,0.03086890243902439,0.0,0.03086890243902439
GPT-OSS 20B,Anachronisms,10.0,0.03696886025464029,0.0,0.03696886025464029
GPT-OSS 20B,Anachronisms,12.0,0.04640282251879123,0.16666666666666666,-0.12026384414787543
GPT-OSS 20B,Anachronisms,14.0,0.04311733128834356,0.16666666666666666,-0.1235493353783231
GPT-OSS 20B,Anachronisms,16.0,0.04335404203098635,0.1111111111111111,-0.06775706908012476
GPT-OSS 20B,Anachronisms,18.0,0.06805981595092025,0.6,-0.5319401840490797
GPT-OSS 20B,Anachronisms,20.0,0.0585122699386503,0.0,0.0585122699386503
GPT-OSS 20B,Logical Deduction,2.0,0.017786432976306395,0.0,0.017786432976306395
GPT-OSS 20B,Logical Deduction,4.0,0.011483753099308365,0.0,0.011483753099308365
GPT-OSS 20B,Logical Deduction,6.0,0.017786432976306395,0.0,0.017786432976306395
GPT-OSS 20B,Logical Deduction,8.0,0.010256410256410256,0.0,0.010256410256410256
GPT-OSS 20B,Logical Deduction,10.0,0.020350535540408957,0.0,0.020350535540408957
GPT-OSS 20B,Logical Deduction,12.0,0.008893216488153197,0.0,0.008893216488153197
GPT-OSS 20B,Logical Deduction,14.0,0.005128205128205128,0.0,0.005128205128205128
GPT-OSS 20B,Logical Deduction,16.0,0.01658552418046089,0.0,0.01658552418046089
GPT-OSS 20B,Logical Deduction,18.0,0.020350535540408957,0.0,0.020350535540408957
GPT-OSS 20B,Logical Deduction,20.0,0.01522233041220383,0.05263157894736842,-0.037409248535164585
GPT-OSS 20B,Social Chemistry,2.0,0.059412880349633046,0.05,0.009412880349633043
GPT-OSS 20B,Social Chemistry,4.0,0.053980099502487555,0.05,0.003980099502487552
GPT-OSS 20B,Social Chemistry,6.0,0.05207296849087894,0.1,-0.04792703150912107
GPT-OSS 20B,Social Chemistry,8.0,0.05665044941040653,0.0,0.05665044941040653
GPT-OSS 20B,Social Chemistry,10.0,0.03813803908633627,0.1,-0.061861960913663736
GPT-OSS 20B,Social Chemistry,12.0,0.0743382534839614,0.05,0.024338253483961403
GPT-OSS 20B,Social Chemistry,14.0,0.08538797724086748,0.1,-0.014612022759132523
GPT-OSS 20B,Social Chemistry,16.0,0.05665044941040653,0.05,0.006650449410406524
GPT-OSS 20B,Social Chemistry,18.0,0.046425331904015835,0.05,-0.003574668095984168
GPT-OSS 20B,Social Chemistry,20.0,0.06509121061359867,0.05,0.015091210613598666
GPT-OSS 20B,Sports Understanding,2.0,0.12087182890102598,0.0,0.12087182890102598
GPT-OSS 20B,Sports Understanding,4.0,0.13225010283833813,0.15,-0.017749897161661865
GPT-OSS 20B,Sports Understanding,6.0,0.13927313562350058,0.05,0.08927313562350057
GPT-OSS 20B,Sports Understanding,8.0,0.13866060946352918,0.1,0.03866060946352917
GPT-OSS 20B,Sports Understanding,10.0,0.12436833239752948,0.1,0.024368332397529474
GPT-OSS 20B,Sports Understanding,12.0,0.17515695982849266,0.05,0.12515695982849268
GPT-OSS 20B,Sports Understanding,14.0,0.12163748660099025,0.05,0.07163748660099024
GPT-OSS 20B,Sports Understanding,16.0,0.12555258558651178,0.15,-0.024447414413488217
GPT-OSS 20B,Sports Understanding,18.0,0.11433821652799755,0.25,-0.13566178347200245
GPT-OSS 20B,Sports Understanding,20.0,0.12482772701750804,0.1,0.02482772701750803
