Model,Dataset,Alpha,Direction,N,Follows Logic (%),False Premises (%),All True Premises (%),Avg Premises,Refuse (%)
Phi-3-mini-4k-instruct,logical_deduction,0.0,no,16,31.2,68.8,31.2,4.3,0.0
Phi-3-mini-4k-instruct,logical_deduction,0.0,yes,20,10.0,25.0,75.0,4.1,0.0
Phi-3-mini-4k-instruct,logical_deduction,2.0,no,20,25.0,65.0,35.0,4.0,0.0
Phi-3-mini-4k-instruct,logical_deduction,2.0,yes,20,20.0,40.0,60.0,4.5,0.0
Phi-3-mini-4k-instruct,logical_deduction,4.0,no,20,20.0,70.0,30.0,3.9,0.0
Phi-3-mini-4k-instruct,logical_deduction,4.0,yes,20,0.0,30.0,70.0,3.9,0.0
Phi-3-mini-4k-instruct,logical_deduction,6.0,no,20,35.0,60.0,40.0,4.5,0.0
Phi-3-mini-4k-instruct,logical_deduction,6.0,yes,20,20.0,30.0,70.0,3.5,0.0
Phi-3-mini-4k-instruct,logical_deduction,8.0,no,20,15.0,70.0,30.0,4.6,0.0
Phi-3-mini-4k-instruct,logical_deduction,8.0,yes,20,10.0,55.0,45.0,3.7,0.0
Phi-3-mini-4k-instruct,logical_deduction,10.0,no,20,25.0,60.0,40.0,4.3,0.0
Phi-3-mini-4k-instruct,logical_deduction,10.0,yes,20,20.0,30.0,70.0,3.3,0.0
Phi-3-mini-4k-instruct,logical_deduction,12.0,no,20,15.0,65.0,35.0,4.2,0.0
Phi-3-mini-4k-instruct,logical_deduction,12.0,yes,20,25.0,50.0,50.0,3.4,0.0
Phi-3-mini-4k-instruct,logical_deduction,14.0,no,20,10.0,65.0,35.0,4.9,0.0
Phi-3-mini-4k-instruct,logical_deduction,14.0,yes,20,15.0,55.0,45.0,3.2,0.0
Phi-3-mini-4k-instruct,logical_deduction,16.0,no,20,5.0,70.0,30.0,4.5,0.0
Phi-3-mini-4k-instruct,logical_deduction,16.0,yes,20,25.0,50.0,50.0,3.6,0.0
Phi-3-mini-4k-instruct,logical_deduction,18.0,no,20,15.0,65.0,35.0,5.7,0.0
Phi-3-mini-4k-instruct,logical_deduction,18.0,yes,20,25.0,60.0,40.0,3.0,0.0
Phi-3-mini-4k-instruct,logical_deduction,20.0,no,20,15.0,90.0,10.0,6.2,0.0
Phi-3-mini-4k-instruct,logical_deduction,20.0,yes,20,15.0,75.0,25.0,4.2,0.0
Phi-3-mini-4k-instruct,social_chemistry,0.0,no,5,20.0,20.0,80.0,5.8,0.0
Phi-3-mini-4k-instruct,social_chemistry,0.0,yes,5,0.0,20.0,80.0,4.8,0.0
Phi-3-mini-4k-instruct,social_chemistry,2.0,no,20,15.0,60.0,40.0,5.6,0.0
Phi-3-mini-4k-instruct,social_chemistry,2.0,yes,20,25.0,50.0,50.0,4.5,0.0
Phi-3-mini-4k-instruct,social_chemistry,4.0,no,20,30.0,85.0,15.0,5.0,0.0
Phi-3-mini-4k-instruct,social_chemistry,4.0,yes,20,60.0,90.0,10.0,5.8,0.0
Phi-3-mini-4k-instruct,social_chemistry,6.0,no,8,37.5,100.0,0.0,3.8,0.0
Phi-3-mini-4k-instruct,social_chemistry,6.0,yes,10,40.0,100.0,0.0,5.4,0.0
Phi-3-mini-4k-instruct,social_chemistry,8.0,no,3,0.0,100.0,0.0,3.3,0.0
Phi-3-mini-4k-instruct,social_chemistry,8.0,yes,5,0.0,100.0,0.0,7.0,0.0
Qwen2.5-1.5B-Instruct,anachronisms,0.0,no,3,66.7,66.7,33.3,4.7,0.0
