Model,Dataset,Direction,Alpha,Samples,Parse Rate,Failed Parse,Success Rate,Probe AUC,Layer
Qwen2.5-3B-Instruct,logical_deduction,no→yes,0.0,305,99.7%,0.3%,6.9%,0.690,27
Qwen2.5-3B-Instruct,logical_deduction,no→yes,2.0,111,97.3%,2.7%,24.1%,0.690,27
Qwen2.5-3B-Instruct,logical_deduction,no→yes,4.0,111,99.1%,0.9%,32.7%,0.690,27
Qwen2.5-3B-Instruct,logical_deduction,no→yes,6.0,111,96.4%,3.6%,36.5%,0.690,27
Qwen2.5-3B-Instruct,logical_deduction,no→yes,8.0,111,96.4%,3.6%,43.9%,0.690,27
Qwen2.5-3B-Instruct,logical_deduction,no→yes,10.0,111,92.8%,7.2%,43.7%,0.690,27
Qwen2.5-3B-Instruct,logical_deduction,yes→no,0.0,111,100.0%,0.0%,17.1%,0.690,27
Qwen2.5-3B-Instruct,logical_deduction,yes→no,2.0,305,99.3%,0.7%,7.6%,0.690,27
Qwen2.5-3B-Instruct,logical_deduction,yes→no,4.0,305,99.3%,0.7%,5.9%,0.690,27
Qwen2.5-3B-Instruct,logical_deduction,yes→no,6.0,305,98.4%,1.6%,9.3%,0.690,27
Qwen2.5-3B-Instruct,logical_deduction,yes→no,8.0,305,96.4%,3.6%,10.9%,0.690,27
Qwen2.5-3B-Instruct,sports_understanding,no→yes,0.0,210,100.0%,0.0%,9.1%,0.903,25
Qwen2.5-3B-Instruct,sports_understanding,no→yes,2.0,195,100.0%,0.0%,17.4%,0.903,25
Qwen2.5-3B-Instruct,sports_understanding,no→yes,4.0,195,99.5%,0.5%,47.9%,0.903,25
Qwen2.5-3B-Instruct,sports_understanding,no→yes,6.0,195,100.0%,0.0%,64.1%,0.903,25
Qwen2.5-3B-Instruct,sports_understanding,no→yes,8.0,195,99.5%,0.5%,70.6%,0.903,25
Qwen2.5-3B-Instruct,sports_understanding,no→yes,10.0,195,100.0%,0.0%,55.9%,0.903,25
Qwen2.5-3B-Instruct,sports_understanding,no→yes,12.0,195,99.0%,1.0%,41.5%,0.903,25
Qwen2.5-3B-Instruct,sports_understanding,no→yes,14.0,195,87.7%,12.3%,35.1%,0.903,25
Qwen2.5-3B-Instruct,sports_understanding,no→yes,16.0,195,60.5%,39.5%,39.0%,0.903,25
Qwen2.5-3B-Instruct,sports_understanding,no→yes,18.0,195,30.8%,69.2%,41.7%,0.903,25
Qwen2.5-3B-Instruct,sports_understanding,no→yes,20.0,195,7.2%,92.8%,35.7%,0.903,25
Qwen2.5-3B-Instruct,sports_understanding,yes→no,0.0,195,100.0%,0.0%,8.2%,0.903,25
Qwen2.5-3B-Instruct,sports_understanding,yes→no,2.0,210,100.0%,0.0%,20.9%,0.903,25
Qwen2.5-3B-Instruct,sports_understanding,yes→no,4.0,210,100.0%,0.0%,70.0%,0.903,25
Qwen2.5-3B-Instruct,sports_understanding,yes→no,6.0,210,98.1%,1.9%,81.5%,0.903,25
Qwen2.5-3B-Instruct,sports_understanding,yes→no,8.0,210,95.7%,4.3%,72.1%,0.903,25
Qwen2.5-3B-Instruct,sports_understanding,yes→no,10.0,210,85.7%,14.3%,75.6%,0.903,25
Qwen2.5-3B-Instruct,sports_understanding,yes→no,12.0,210,52.9%,47.1%,80.2%,0.903,25
Qwen2.5-3B-Instruct,sports_understanding,yes→no,14.0,210,37.6%,62.4%,94.9%,0.903,25
Qwen2.5-3B-Instruct,sports_understanding,yes→no,16.0,210,26.7%,73.3%,96.4%,0.903,25
Qwen2.5-3B-Instruct,sports_understanding,yes→no,18.0,210,21.4%,78.6%,100.0%,0.903,25
Qwen2.5-3B-Instruct,sports_understanding,yes→no,20.0,210,9.5%,90.5%,100.0%,0.903,25
