,,parse_rate,parse_rate,parse_rate,parse_rate,parse_rate,parse_rate,parse_rate,parse_rate,parse_rate,parse_rate,parse_rate,parse_rate,parse_rate,parse_rate,parse_rate,parse_rate,parse_rate,parse_rate,parse_rate,parse_rate,parse_rate,parse_rate,parse_rate,parse_rate,parse_rate,parse_rate,parse_rate,parse_rate,parse_rate,parse_rate,parse_rate,parse_rate,parse_rate,parse_rate,parse_rate,success_rate_all,success_rate_all,success_rate_all,success_rate_all,success_rate_all,success_rate_all,success_rate_all,success_rate_all,success_rate_all,success_rate_all,success_rate_all,success_rate_all,success_rate_all,success_rate_all,success_rate_all,success_rate_all,success_rate_all,success_rate_all,success_rate_all,success_rate_all,success_rate_all,success_rate_all,success_rate_all,success_rate_all,success_rate_all,success_rate_all,success_rate_all,success_rate_all,success_rate_all,success_rate_all,success_rate_all,success_rate_all,success_rate_all,success_rate_all,success_rate_all,success_rate_parsed,success_rate_parsed,success_rate_parsed,success_rate_parsed,success_rate_parsed,success_rate_parsed,success_rate_parsed,success_rate_parsed,success_rate_parsed,success_rate_parsed,success_rate_parsed,success_rate_parsed,success_rate_parsed,success_rate_parsed,success_rate_parsed,success_rate_parsed,success_rate_parsed,success_rate_parsed,success_rate_parsed,success_rate_parsed,success_rate_parsed,success_rate_parsed,success_rate_parsed,success_rate_parsed,success_rate_parsed,success_rate_parsed,success_rate_parsed,success_rate_parsed,success_rate_parsed,success_rate_parsed,success_rate_parsed,success_rate_parsed,success_rate_parsed,success_rate_parsed,success_rate_parsed
alpha,,-20.0,-18.0,-16.0,-14.0,-12.0,-10.0,-8.0,-6.0,-4.0,-2.0,-1.75,-1.5,-1.25,-1.0,-0.75,-0.5,-0.25,0.0,0.25,0.5,0.75,1.0,1.25,1.5,1.75,2.0,4.0,6.0,8.0,10.0,12.0,14.0,16.0,18.0,20.0,-20.0,-18.0,-16.0,-14.0,-12.0,-10.0,-8.0,-6.0,-4.0,-2.0,-1.75,-1.5,-1.25,-1.0,-0.75,-0.5,-0.25,0.0,0.25,0.5,0.75,1.0,1.25,1.5,1.75,2.0,4.0,6.0,8.0,10.0,12.0,14.0,16.0,18.0,20.0,-20.0,-18.0,-16.0,-14.0,-12.0,-10.0,-8.0,-6.0,-4.0,-2.0,-1.75,-1.5,-1.25,-1.0,-0.75,-0.5,-0.25,0.0,0.25,0.5,0.75,1.0,1.25,1.5,1.75,2.0,4.0,6.0,8.0,10.0,12.0,14.0,16.0,18.0,20.0
model,dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeepSeek-1.5B,anachronisms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.9897959183673469,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.6989795918367347,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.7083333333333333,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeepSeek-1.5B,logical_deduction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,,,,,,,,0.9666344294003868,,,,,,,,0.7872340425531915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,,,,,,,,0.5701160541586073,,,,,,,,0.2978723404255319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,,,,,,,,0.5936853002070394,,,,,,,,0.3783783783783784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeepSeek-1.5B,sports_understanding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,,,,,,,,0.9348739495798319,,,,,,,,0.8823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17857142857142858,,,,,,,,0.5336134453781513,,,,,,,,0.5294117647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,,,,,,,,0.5721153846153846,,,,,,,,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemma-2B,anachronisms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.078125,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.078125,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemma-2B,logical_deduction,,,,,,,,,,0.0,,,,,,,,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.2210526315789474,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.2210526315789474,,,,,,,,0.0,,,,,,,,,
Gemma-2B,sports_understanding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.027056277056277056,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.027056277056277056,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemma-9B,anachronisms,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Gemma-9B,logical_deduction,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.4857142857142857,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.4857142857142857,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Gemma-9B,sports_understanding,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,,0.926829268292683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,,0.926829268292683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Llama-2-7b-chat,anachronisms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.9814814814814814,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.125,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.125,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Llama-2-7b-chat,logical_deduction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.99,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.19090909090909092,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.19294990723562153,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Llama-2-7b-chat,social_chemistry,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.9907407407407407,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.04374201787994891,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.043916720884840596,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Llama-2-7b-chat,sports_understanding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,,,,,,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,,,,,,,,0.03125,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,0.03125,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
